"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
601721,341317,PIONEER HLTH SERV OF STOKES CNTY,1570 NC & 89 HWY,DANBURY,NC,27016,STOKES,49180,U,CAH,1,4,10/01/2016,01/30/2017,112.17,,,329,15,854,25,3050,,21,9,52,65,,85,15,185,25,3050,,21,9,52,4128,622592,723077,1721869,2057466,5476209,61341,5382132,1347731,3313062,4660793,,,,,,,-1162165,,,8478162,-5408421,,219046,,324806,,,2698729,,157167,98124,407373,1621986,4216311,,,,4541117,3668612,408532,1497559,74847,,1560256,7459778,,4511968,,,4511968,11971746,-7430629,-7430629,4541117,,,,,,,,,2078831,5458594,7537425,905683,6631742,7533675,-901933,1542201,640268,622592,17676,1.154767,578366,801800,159516,702117
611885,364045,POMEGRANATE HEALTH,765 PIERCE DR,COLUMBUS,OH,43223,,,NA,PH,9,6,10/27/2016,06/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618974,660001,COMMONWEALTH HEALTH CENTER,LOWER NAVY HILL RD,SAIPAN,MP,96950,CNMI,99966,R,STH,1,13,10/01/2016,09/30/2017,555.33,,,,3351,16375,74,27010,,,490,4403,74,,,3351,14470,70,25550,,,490,4403,,,,,24675071,23037063,2293377,43210718,14000,11000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47712134,-47712134,,-47712134,,-47712134,1728.42872,,,,
621121,421302,FAIRFIELD MEMORIAL HOSPITAL,102 US HWY 31 BYPASS NORTH,WINSBORO,SC,29180-0620,FAIRFIELD,17900,U,CAH,1,9,10/01/2016,09/30/2017,77.76,,,260,,566,25,9125,,13,,75,25,,62,,124,25,9125,,13,,75,399903,2293225,1885471,1885471,4480368,7455004,452366,10162333,702640,14716677,15419317,,,,,,,115804,,,2729508,-2325800,141599,106066,,938432,20685,41306,8472349,766753,5825319,4432847,,1687238,3810579,687574,,687574,5436585,2868612,124190,,449980,8444,,3346568,,1313897,,,1313897,4660465,776120,776120,5436585,,,,,,,,,741519,15136133,15877652,6233152,9644500,11935372,-2290872,3190896,900024,2293225,-1393201,0.659065,105832,405787,,
621140,511306,ROANE GENERAL HOSPITAL,200 HOSPITAL DRIVE,SPENCER,WV,25276-1060,ROANE,99951,R,CAH,1,2,10/01/2016,09/30/2017,185.19,,,1639,15,2888,25,9125,,111,9,190,69,,355,15,583,25,9125,,111,9,190,183458,2142965,1031247,1031247,15149453,19584405,900938,30436140,10286776,64498801,74785577,,,,,,,7259030,,,4329710,,488053,112361,1018602,13207756,125809,54163,4841889,,6159749,13386441,,,8053449,,2945926,2945926,24207131,1266510,2178530,,543377,227098,5555991,9771506,,2823687,,1296710,4120397,13891903,10315228,10315228,24207131,,,,,,,,,10271593,67182239,77453832,43810102,33643730,34733858,-1090128,3147409,2057281,,2057281,0.406979,10651691,23783068,202435,395744
621175,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,R,CAH,1,2,10/01/2016,09/30/2017,268.49,,,3189,1569,5999,25,9125,,612,487,1389,25,,2417,978,4155,21,7665,,612,487,1389,110448,17831847,5673928,5673942,14906561,27596562,2044717,39364744,36978845,90037609,127016454,,,,,,,6568448,,,17870647,-8727596,2146484,38469,,21609087,568352,873751,29531482,,,20390246,,,18144928,,2479864,2479864,42233879,2197203,3444783,,,,8040692,13682678,,,,10297687,10297687,23980365,18253514,18253514,42233879,,,,,,,,,37627023,91042813,128669836,74720446,53949390,47104116,6845274,1092346,7937620,,7937620,0.309918,7506495,19823171,1572,5116
621178,341326,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,99934,R,CAH,1,2,10/01/2016,09/30/2017,266.9,,,3047,1081,6026,25,9125,,902,463,1809,25,,2532,653,4361,20,7300,,902,463,1809,3781099,9958341,6852253,7922244,16055319,47571819,2361677,54737697,29929965,152788834,182718799,,,,,,,1025904,,,38377387,-27756336,1551506,29368,336791,14273073,1794040,1286692,35254525,3082326,4832532,16942276,,,22014340,,4344295,4344295,40631708,2322657,1400637,40465,1143854,,110236,5017849,,,,11420818,11420818,16438667,24193041,24193041,40631708,,,,,,,,,30086990,171915345,202002335,140991273,61011062,63627138,-2616076,3057671,441595,17,441578,0.299573,4945112,20078922,,
621984,341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,99934,R,CAH,1,2,10/01/2016,09/30/2017,289.95,,,3426,375,6071,25,9125,,859,116,1524,35,,3081,347,5391,21,7665,,859,116,1524,2801794,6771729,5084445,6584581,18072392,49410667,2481514,53589511,25740882,134813019,160553901,,,,,,,6742728,,,28645357,-18356430,1779242,22840,,30864661,7111000,438020,21305524,354806,74365,9309482,,,27964403,11643802,8993615,36565441,95394505,866837,1933041,50964,,,6479988,12186081,,,,9420000,9420000,21606081,73788424,73788424,95394505,,,,,,,,,26167297,150156437,176323734,112069414,64254320,67483059,-3228739,10174978,6946239,,6946239,0.333779,4599518,18274530,,
622415,341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,99934,R,CAH,1,2,10/01/2016,09/30/2017,135.91,,,927,79,1707,25,9125,,286,34,571,35,,745,67,1384,21,7665,,286,34,571,281073,3207959,1750216,1819403,8751539,13920636,2135323,20648195,13754568,30011219,43765787,,,,,,,246025,,,2658084,,488753,143897,845400,4424630,,,15877364,,,,,,15877364,,-373696,-373696,19928298,402119,5899,,718140,,452364,1578522,5856490,,,207000,6063490,7642012,12286286,12286286,19928298,,,,,,,,,15145639,31420216,46565855,23647661,22918194,25880134,-2961940,1447382,-1514558,,-1514558,0.471788,1064053,3161801,,
623594,154064,ASSURANCE HEALTH INDIANAPOLIS,900 NORTH HIGH SCHOOL ROAD,INDIANAPOLIS,IN,46214,MARION,26900,U,PH,4,4,11/02/2016,12/31/2016,73,,,908,2,1277,23,1380,,61,1,69,23,,908,2,1277,23,1380,,61,1,69,,,,,1044944,1129644,,1935925,1885383,,1885383,,,,,,,164998,,,1211196,,8231,100836,,1488261,,,,,1992,419922,,,421914,,,,1910175,332684,102000,,1427471,,,2430730,,500000,,,500000,2930730,-1020555,-1020555,1910175,,,,,,,,,2050658,,2050658,839462,1211196,2174588,-963392,,-963392,,-963392,,,,,
624010,514011,HIGHLAND-CLARKSBURG HOSPITAL,3 HOSPITAL PLAZA,CLARKSBURG,WV,26301,,,NA,PH,2,4,10/01/2016,09/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624143,453314,TEXAS SCOTTISH RITE,2222 WELBORN STREET,DALLAS,TX,75219,,,NA,CH,7,2,10/01/2016,09/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624416,414003,EMMA P. BRADLEY HOSPITAL,1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,RI,02915-5061,,,NA,PH,4,3,10/01/2016,09/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624687,014014,BAYPOINTE BEHAVIORAL HEALTH,5750 A SOUTHLAND DRIVE,MOBILE,AL,36693-3316,,,NA,PH,4,4,10/01/2016,09/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625000,244016,PRAIRIECARE,9400 ZANE AVE N,BROOKLYN PARK,MN,55443,,,NA,PH,4,3,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626753,374017,WILLOW CREST HOSPITAL,130 A STREET SOUTHWEST,MIAMI,OK,74354,,,NA,PH,4,9,10/11/2016,12/31/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628430,511303,MINNIE HAMILTON HEALTH CARE CENTER,186 HOSPITAL DRIVE,GRANTSVILLE,WV,26147-,CALHOUN,99951,R,CAH,1,2,01/01/2017,12/31/2017,151.49,,,728,17,1416,25,9125,,74,4,153,49,,248,17,475,25,9125,,74,4,153,1109572,985462,1837690,1846276,12887213,9452289,549127,18609520,6977865,15710027,22687892,,,,,,,766302,,,6001039,-3234879,164292,146467,,4276850,,,11338320,,,,,,2063855,,,,6340705,2736779,,811148,,,589281,4137208,,203248,,3093314,3296562,7433770,-1093065,-1093065,6340705,,,,,,,,,7165183,18893153,26058336,9465376,16592960,22339502,-5746542,3830026,-1916516,,-1916516,0.82024,4057762,4683940,31742,49166
628468,263304,SHRINERS HOSPITAL FOR CHILDREN,4400 CLAYTON AVE,ST LOUIS,MO,63110-1624,,,NA,CH,7,2,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628493,374017,WILLOW CREST HOSPITAL INC,130 A STREET SOUTHWEST,MIAMI,OK,74354,,,NA,PH,9,2,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628516,014015,BEACON CHILDRENS HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,,,NA,PH,4,4,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629188,363304,CLEVELAND CLINIC CHILDRENS,2801 BRECKSVILLE ROAD,INDEPENDENCE,OH,44131,,,NA,CH,5,5,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629311,393309,SHRINERS HOSPITAL FOR CHILDREN,3551 N. BROAD STREET,PHILADELPHIA,PA,19140,,,NA,CH,9,4,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629419,183300,SHRINERS HOSPITALS FOR CHILDREN,1900 RICHMOND RD,LEXINGTON,KY,40502,,,NA,CH,7,5,01/01/2017,03/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629529,454141,PALMS BEHAVIORAL HEALTH,613 VICTORIA LANE,HARLINGEN,TX,78550,,,NA,PH,4,4,10/04/2016,12/31/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629733,363308,SHRINERS HOSPITALS FOR CHILDREN,3229 BURNETT AVENUE,CINCINNATI,OH,45229,,,NA,CH,7,5,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629833,290042,THI OF NEVADA AT LAS VEGAS,2170 E HARMON AVENUE,LAS VEGAS,NV,89119,,,NA,STH,1,4,01/01/2017,12/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
