"Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-318.11878132103,7.33628535256327,-43.3623783744836,0
"Total.Discharges..V...XVIII...XIX...Unknown.",0.000133368618042097,4.68295406848834e-06,28.4795913202601,2.77678652615402e-177
"Hospital.Total.Days..V...XVIII...XIX...Unknown..For.Adults...Peds",-6.07366651953569e-05,1.21606903433853e-06,-49.9450799916093,0
"Total.Salaries.From.Worksheet.A",-0.00225590895685989,0.000279612472045583,-8.06798402215811,7.27111247435839e-16
"Inpatient.Total.Charges",-0.00294470093852085,0.000112609741705736,-26.1496109831754,6.26605569246926e-150
"Outpatient.Total.Charges",0.00012412283697569,0.000117387455354182,1.05737735434494,0.290343439068719
"Total.Income",0.000750743075715949,0.000186100637718086,4.03407040900746,5.48831713494042e-05
"Total.Other.Income",-0.00158069372347046,0.000228368710145087,-6.92167382504466,4.505709550485e-12
"Total.Liabilities.and.Fund.Balances",-0.000280031961092824,3.52946478468161e-05,-7.93411970869361,2.15442796080679e-15
"Accounts.Payable",0.0003116591105825,0.000233294563297035,1.33590387267486,0.181585499484057
"Total.Current.Assets",0.000146052339451617,5.89804775882806e-05,2.4762827536113,0.0132784340929012
"Total.Fixed.Assets",0.000256608729432661,0.000123542422907814,2.07708998571398,0.037797279089866
"General.Fund.Balance",-5.26589255488434e-05,5.30290699651926e-05,-0.993019971562915,0.320704019042707
"Inventory",6.08407710877875e-10,1.25689950509966e-09,0.484054380170698,0.628348951488808
"Total.Patient.Revenue",0.00358681230660048,0.000108193940574006,33.1516930391039,6.04304870184796e-239
"Number.of.Beds",-3.79836427445102e-06,1.90250692175006e-06,-1.99650483844602,0.0458832763104245
"year",0.159717464251416,0.00363671088975702,43.9181087232608,0
